,REG_SEASON_BENCH_PROP,SERIES_BENCH_PROP,REG_SEASON_PLAYOFF_PROP_CHANGE,TEAM_OPP_BENCH_PTS_DIFF,TEAM_OPP_BENCH_PROP_CHG,WL
56,2.0584306200611997,0.35785953177257523,-4.75206313456354,98,0.9250374812593701,0
57,2.0584306200611997,0.3081395348837209,-5.680189936802384,19,0.11370431893687699,1
58,0.3548451126440623,0.32463768115942027,-0.09304967734108491,-72,-0.2783868935097669,0
59,-1.1664476109462099,0.3593429158110883,4.24605706589031,83,0.6443844299616105,1
60,-1.1664476109462099,0.23353293413173654,5.994788487897872,76,0.8682634730538923,1
61,-1.1664476109462099,0.3725,4.131402982405933,40,0.16534403669724773,1
62,-1.1664476109462099,0.28424153166421207,5.103719833328894,25,0.15726909320429205,1
63,-1.0756337244973961,0.30393700787401573,4.539002150548428,51,0.28424087834091155,1
64,-1.0756337244973961,0.30580357142857145,4.517400792517032,29,0.32514880952380953,0
65,1.2806244446961526,0.25285171102661597,-4.064725247444934,43,0.38787494719053656,1
66,1.2806244446961526,0.3463687150837989,-2.697286703235666,97,1.0898876404494384,0
67,0.6078951663473304,0.2679738562091503,-1.2684868402717453,-26,-0.169281045751634,1
68,0.6078951663473304,0.38221153846153844,-0.5904678566068521,85,0.7612720893970892,1
69,0.6078951663473304,0.3037974683544304,-1.0009882558932959,-14,-0.20423200453429058,1
70,0.6078951663473304,0.24561403508771928,-1.4750017486998455,-25,-0.13589673666030364,0
71,1.0558526017489998,0.35436893203883496,-1.9795292597300538,57,0.4065384154380918,0
72,-1.1547872519207663,0.2310405643738977,5.998201311748661,-22,-0.19060299016726043,1
73,-1.1547872519207663,0.125,10.23829801536613,-76,-0.46474358974358976,0
74,-1.1547872519207663,0.16573556797020483,7.967648924510691,-97,-0.5215053763440861,1
75,1.1791121130466824,0.4295774647887324,-1.7448183615185067,99,0.7805245264691597,0
76,-0.4269241616097445,0.25287356321839083,2.6882910027294438,-12,-0.08266079726094383,0
77,-0.6913519502918216,0.2756598240469208,3.5079895218033106,12,0.09010930418555033,1
78,-0.6913519502918216,0.21852731591448932,4.163686642096271,-83,-0.391869697997964,0
79,-0.8001456105826624,0.24126455906821964,4.3164655997253805,-99,-0.43836774774283294,1
80,-0.8001456105826624,0.23076923076923078,4.467297645858204,-29,-0.2453677709152162,1
81,-0.8001456105826624,0.3817663817663818,3.095903800854586,14,0.25664767331433996,0
82,-0.42981615264496414,0.28544776119402987,2.5057611622071945,22,0.23548763814515225,0
83,-0.5432544266140368,0.25194401244167963,3.1562505945236152,-57,-0.2890347046166301,1
84,-0.5432544266140368,0.3225806451612903,2.6840887225035144,26,0.2037765538945712,0
85,0.22461474992734876,0.18218623481781376,-0.23288540515678097,-43,-0.27947398861526285,0
86,-1.5748742954352335,0.21700879765395895,8.257191010046144,-85,-0.4322285545657426,0
87,-0.7789289799283031,0.23666666666666666,4.291249210964661,-51,-0.2213298791018998,0
88,0.17149082452111616,0.3196480938416422,0.46350118200274665,-40,-0.14188431183451752,0
89,-0.9623328895768716,0.2400611620795107,5.008698788428497,-41,-0.21555771785129588,1
90,-0.9623328895768716,0.16847826086956522,6.711911344585303,-66,-0.3737694831829368,0
91,-0.9623328895768716,0.20411985018726592,5.7145482847160505,12,0.096355071624387,1
92,2.262258116333507,0.3518005540166205,-5.430513228318079,-14,-0.07061644685161446,1
93,2.262258116333507,0.3560606060606061,-5.35357598629836,79,0.49610786766750076,1
94,2.262258116333507,0.450920245398773,-4.016980584521927,132,0.639456941604181,1
95,2.262258116333507,0.40441176470588236,-4.59394734220649,143,1.5052521008403361,1
96,-0.488974680672707,0.25357873210633947,2.928295313298014,-30,-0.23926380368098155,1
97,-0.488974680672707,0.28255528255528256,2.7305451742068847,7,-0.037219037219037285,1
98,-0.488974680672707,0.26903553299492383,2.8175096621230806,66,0.5968560668085802,1
99,-0.488974680672707,0.23799126637554585,3.0545908600743097,-79,-0.3315989965622968,0
100,-0.32963115901341755,0.23950233281493002,2.3763171119845943,-33,-0.18287439392553279,1
101,-0.32963115901341755,0.23496503496503496,2.402894516039247,-65,-0.31729043488700137,1
102,-0.32963115901341755,0.27504244482173174,2.1984737818450797,-132,-0.3900419250892208,0
103,-0.9429796386722973,0.31443298969072164,3.998984424629929,43,0.16543570805764996,1
104,-0.9429796386722973,0.29310344827586204,4.2172246495878385,33,0.22380206000895642,0
105,-1.2245003087657158,0.2526002971768202,5.847580634113687,-33,-0.14887387552243833,0
106,-0.10888235560404474,0.35777777777777775,1.30432956535292,92,1.4525925925925927,0
107,-1.3195610445217363,0.20089285714285715,7.568481643841531,42,0.44729262672811076,0
108,-1.8776235806749764,0.13880597014925372,14.526965581206822,-42,-0.3090547263681593,1
109,-1.8776235806749764,0.16142557651991615,12.631512311454074,-143,-0.6008385744234801,0
110,-1.234743412062541,0.14587737843551796,9.464255563849013,-92,-0.5922681969193597,1
111,-1.234743412062541,0.18618042226487524,7.63197234726375,-12,-0.0878867386289598,0
