,TOTAL_PTS,TOTAL_BENCH_PTS,WL,MATCHUP,TEAM_ID,SEASON
0,775,171,0,"PHI,ATL",1610612755,2020-21
1,620,183,1,"PHI,WAS",1610612755,2020-21
0,669,127,0,"UTA,LAC",1610612762,2020-21
1,617,171,1,"UTA,MEM",1610612762,2020-21
0,617,100,1,"BKN,BOS",1610612751,2020-21
1,733,154,0,"BKN,MIL",1610612751,2020-21
0,486,114,1,"PHX,DEN",1610612756,2020-21
1,632,134,1,"PHX,LAC",1610612756,2020-21
2,624,171,1,"PHX,LAL",1610612756,2020-21
3,656,126,0,"PHX,MIL",1610612756,2020-21
0,423,141,0,"DEN,PHX",1610612743,2020-21
1,725,214,1,"DEN,POR",1610612743,2020-21
0,680,154,1,"MIL,ATL",1610612749,2020-21
1,713,98,1,"MIL,BKN",1610612749,2020-21
2,474,160,1,"MIL,MIA",1610612749,2020-21
3,670,122,1,"MIL,PHX",1610612749,2020-21
0,778,155,1,"LAC,DAL",1610612746,2020-21
1,622,152,0,"LAC,PHX",1610612746,2020-21
2,720,136,1,"LAC,UTA",1610612746,2020-21
0,485,202,0,"NYK,ATL",1610612752,2020-21
0,638,200,0,"ATL,MIL",1610612737,2020-21
1,520,137,1,"ATL,NYK",1610612737,2020-21
2,755,218,1,"ATL,PHI",1610612737,2020-21
0,742,141,0,"DAL,LAC",1610612742,2020-21
0,392,172,0,"MIA,MIL",1610612748,2020-21
0,717,150,0,"POR,DEN",1610612757,2020-21
0,561,126,0,"BOS,BKN",1610612738,2020-21
0,585,186,0,"LAL,PHX",1610612747,2020-21
0,550,150,0,"WAS,PHI",1610612764,2020-21
0,575,110,0,"MEM,UTA",1610612763,2020-21
