,TEAM_ID,GAME_ID,SEASON,BENCH_PTS,OFF_RTG,SEASON_W_PCT
0,1610612764,0021200001,2012-13,46.0,97.8,0.354
1,1610612739,0021200001,2012-13,23.0,100.8,0.293
2,1610612738,0021200002,2012-13,29.0,101.1,0.506
3,1610612748,0021200002,2012-13,32.0,110.3,0.805
4,1610612742,0021200003,2012-13,37.0,103.6,0.5
5,1610612747,0021200003,2012-13,17.0,105.6,0.549
6,1610612754,0021200004,2012-13,23.0,101.6,0.605
7,1610612761,0021200004,2012-13,29.0,102.9,0.415
8,1610612743,0021200005,2012-13,32.0,107.6,0.695
9,1610612755,0021200005,2012-13,39.0,99.5,0.415
10,1610612745,0021200006,2012-13,27.0,106.7,0.549
11,1610612765,0021200006,2012-13,36.0,100.9,0.354
12,1610612758,0021200007,2012-13,32.0,103.0,0.341
13,1610612741,0021200007,2012-13,23.0,100.4,0.549
14,1610612759,0021200008,2012-13,20.0,105.9,0.707
15,1610612740,0021200008,2012-13,34.0,102.7,0.329
16,1610612742,0021200009,2012-13,40.0,103.6,0.5
17,1610612762,0021200009,2012-13,35.0,103.6,0.524
18,1610612744,0021200010,2012-13,46.0,104.2,0.573
19,1610612756,0021200010,2012-13,24.0,98.2,0.305
20,1610612763,0021200011,2012-13,17.0,101.7,0.683
21,1610612746,0021200011,2012-13,49.0,107.7,0.683
22,1610612747,0021200012,2012-13,15.0,105.6,0.549
23,1610612757,0021200012,2012-13,13.0,102.7,0.402
24,1610612752,0021200013,2012-13,13.0,108.6,0.659
25,1610612751,0021200013,2012-13,30.0,105.0,0.598
26,1610612760,0021200014,2012-13,29.0,110.2,0.732
27,1610612759,0021200014,2012-13,23.0,105.9,0.707
28,1610612754,0021200015,2012-13,41.0,101.6,0.605
29,1610612766,0021200015,2012-13,30.0,98.3,0.256
30,1610612743,0021200016,2012-13,36.0,107.6,0.695
31,1610612753,0021200016,2012-13,45.0,98.9,0.244
32,1610612749,0021200017,2012-13,37.0,100.9,0.463
33,1610612738,0021200017,2012-13,31.0,101.1,0.506
34,1610612745,0021200018,2012-13,28.0,106.7,0.549
35,1610612737,0021200018,2012-13,47.0,102.7,0.537
36,1610612741,0021200019,2012-13,44.0,100.4,0.549
37,1610612739,0021200019,2012-13,34.0,100.8,0.293
38,1610612748,0021200020,2012-13,29.0,110.3,0.805
39,1610612752,0021200020,2012-13,31.0,108.6,0.659
40,1610612762,0021200021,2012-13,30.0,103.6,0.524
41,1610612740,0021200021,2012-13,31.0,102.7,0.329
42,1610612757,0021200022,2012-13,15.0,102.7,0.402
43,1610612760,0021200022,2012-13,42.0,110.2,0.732
44,1610612758,0021200023,2012-13,28.0,103.0,0.341
45,1610612750,0021200023,2012-13,46.0,100.1,0.378
46,1610612765,0021200024,2012-13,31.0,100.9,0.354
47,1610612756,0021200024,2012-13,31.0,98.2,0.305
48,1610612746,0021200025,2012-13,46.0,107.7,0.683
49,1610612747,0021200025,2012-13,16.0,105.6,0.549
50,1610612763,0021200026,2012-13,23.0,101.7,0.683
51,1610612744,0021200026,2012-13,29.0,104.2,0.573
52,1610612738,0021200027,2012-13,27.0,101.1,0.506
53,1610612764,0021200027,2012-13,62.0,97.8,0.354
54,1610612758,0021200028,2012-13,50.0,103.0,0.341
55,1610612754,0021200028,2012-13,25.0,101.6,0.605
56,1610612761,0021200029,2012-13,30.0,102.9,0.415
57,1610612751,0021200029,2012-13,32.0,105.0,0.598
58,1610612743,0021200030,2012-13,43.0,107.6,0.695
59,1610612748,0021200030,2012-13,28.0,110.3,0.805
60,1610612740,0021200031,2012-13,26.0,102.7,0.329
61,1610612741,0021200031,2012-13,42.0,100.4,0.549
62,1610612757,0021200032,2012-13,6.0,102.7,0.402
63,1610612745,0021200032,2012-13,23.0,106.7,0.549
64,1610612739,0021200033,2012-13,15.0,100.8,0.293
65,1610612749,0021200033,2012-13,62.0,100.9,0.463
66,1610612766,0021200034,2012-13,39.0,98.3,0.256
67,1610612742,0021200034,2012-13,58.0,103.6,0.5
68,1610612762,0021200035,2012-13,15.0,103.6,0.524
69,1610612759,0021200035,2012-13,31.0,105.9,0.707
70,1610612744,0021200036,2012-13,48.0,104.2,0.573
71,1610612746,0021200036,2012-13,38.0,107.7,0.683
72,1610612755,0021200037,2012-13,24.0,99.5,0.415
73,1610612752,0021200037,2012-13,39.0,108.6,0.659
74,1610612750,0021200038,2012-13,33.0,100.1,0.378
75,1610612761,0021200038,2012-13,42.0,102.9,0.415
76,1610612756,0021200039,2012-13,19.0,98.2,0.305
77,1610612753,0021200039,2012-13,36.0,98.9,0.244
78,1610612737,0021200040,2012-13,47.0,102.7,0.537
79,1610612760,0021200040,2012-13,32.0,110.2,0.732
80,1610612765,0021200041,2012-13,52.0,100.9,0.354
81,1610612747,0021200041,2012-13,27.0,105.6,0.549
82,1610612752,0021200042,2012-13,43.0,108.6,0.659
83,1610612755,0021200042,2012-13,28.0,99.5,0.415
84,1610612750,0021200043,2012-13,47.0,100.1,0.378
85,1610612751,0021200043,2012-13,35.0,105.0,0.598
86,1610612756,0021200044,2012-13,44.0,98.2,0.305
87,1610612748,0021200044,2012-13,47.0,110.3,0.805
88,1610612762,0021200045,2012-13,27.0,103.6,0.524
89,1610612763,0021200045,2012-13,26.0,101.7,0.683
90,1610612757,0021200046,2012-13,17.0,102.7,0.402
91,1610612742,0021200046,2012-13,42.0,103.6,0.5
92,1610612754,0021200047,2012-13,35.0,101.6,0.605
93,1610612759,0021200047,2012-13,57.0,105.9,0.707
94,1610612744,0021200048,2012-13,20.0,104.2,0.573
95,1610612758,0021200048,2012-13,45.0,103.0,0.341
96,1610612739,0021200049,2012-13,32.0,100.8,0.293
97,1610612746,0021200049,2012-13,34.0,107.7,0.683
98,1610612753,0021200050,2012-13,14.0,98.9,0.244
99,1610612741,0021200050,2012-13,29.0,100.4,0.549
100,1610612761,0021200051,2012-13,41.0,102.9,0.415
101,1610612760,0021200051,2012-13,42.0,110.2,0.732
102,1610612765,0021200052,2012-13,38.0,100.9,0.354
103,1610612743,0021200052,2012-13,40.0,107.6,0.695
104,1610612756,0021200053,2012-13,38.0,98.2,0.305
105,1610612766,0021200053,2012-13,53.0,98.3,0.256
106,1610612764,0021200054,2012-13,53.0,97.8,0.354
107,1610612738,0021200054,2012-13,41.0,101.1,0.506
108,1610612754,0021200055,2012-13,22.0,101.6,0.605
109,1610612737,0021200055,2012-13,28.0,102.7,0.537
110,1610612751,0021200056,2012-13,28.0,105.0,0.598
111,1610612748,0021200056,2012-13,36.0,110.3,0.805
112,1610612763,0021200057,2012-13,40.0,101.7,0.683
113,1610612749,0021200057,2012-13,37.0,100.9,0.463
114,1610612755,0021200058,2012-13,18.0,99.5,0.415
115,1610612740,0021200058,2012-13,25.0,102.7,0.329
116,1610612743,0021200059,2012-13,26.0,107.6,0.695
117,1610612745,0021200059,2012-13,30.0,106.7,0.549
118,1610612753,0021200060,2012-13,40.0,98.9,0.244
119,1610612750,0021200060,2012-13,36.0,100.1,0.378
120,1610612761,0021200061,2012-13,38.0,102.9,0.415
121,1610612742,0021200061,2012-13,30.0,103.6,0.5
122,1610612747,0021200062,2012-13,12.0,105.6,0.549
123,1610612762,0021200062,2012-13,36.0,103.6,0.524
124,1610612765,0021200063,2012-13,35.0,100.9,0.354
125,1610612758,0021200063,2012-13,36.0,103.0,0.341
126,1610612759,0021200064,2012-13,46.0,105.9,0.707
127,1610612746,0021200064,2012-13,39.0,107.7,0.683
128,1610612739,0021200065,2012-13,27.0,100.8,0.293
129,1610612744,0021200065,2012-13,36.0,104.2,0.573
130,1610612760,0021200066,2012-13,29.0,110.2,0.732
131,1610612741,0021200066,2012-13,14.0,100.4,0.549
132,1610612746,0021200067,2012-13,45.0,107.7,0.683
133,1610612757,0021200067,2012-13,22.0,102.7,0.402
134,1610612749,0021200068,2012-13,49.0,100.9,0.463
135,1610612764,0021200068,2012-13,20.0,97.8,0.354
136,1610612751,0021200069,2012-13,55.0,105.0,0.598
137,1610612753,0021200069,2012-13,18.0,98.9,0.244
138,1610612755,0021200070,2012-13,24.0,99.5,0.415
139,1610612738,0021200070,2012-13,33.0,101.1,0.506
140,1610612742,0021200071,2012-13,41.0,103.6,0.5
141,1610612752,0021200071,2012-13,35.0,108.6,0.659
142,1610612748,0021200072,2012-13,32.0,110.3,0.805
143,1610612737,0021200072,2012-13,32.0,102.7,0.537
144,1610612745,0021200073,2012-13,15.0,106.7,0.549
145,1610612763,0021200073,2012-13,29.0,101.7,0.683
146,1610612766,0021200074,2012-13,58.0,98.3,0.256
