,TOTAL_PTS,TOTAL_BENCH_PTS,WL,MATCHUP,TEAM_ID,SEASON
0,487,175,1,"MIA,CHI",1610612748,2012-13
1,668,156,1,"MIA,IND",1610612748,2012-13
2,400,149,1,"MIA,MIL",1610612748,2012-13
3,679,193,1,"MIA,SAS",1610612748,2012-13
0,635,193,1,"OKC,HOU",1610612760,2012-13
1,448,137,0,"OKC,MEM",1610612760,2012-13
0,526,133,1,"NYK,BOS",1610612752,2012-13
1,537,186,0,"NYK,IND",1610612752,2012-13
0,612,164,1,"SAS,GSW",1610612759,2012-13
1,416,159,1,"SAS,LAL",1610612759,2012-13
2,395,120,1,"SAS,MEM",1610612759,2012-13
3,684,168,0,"SAS,MIA",1610612759,2012-13
0,618,219,0,"DEN,GSW",1610612743,2012-13
0,567,131,1,"IND,ATL",1610612754,2012-13
1,640,80,0,"IND,MIA",1610612754,2012-13
2,537,89,1,"IND,NYK",1610612754,2012-13
0,568,244,0,"LAC,MEM",1610612746,2012-13
0,696,176,0,"BKN,CHI",1610612751,2012-13
0,682,188,1,"CHI,BKN",1610612741,2012-13
1,421,92,0,"CHI,MIA",1610612741,2012-13
0,601,145,1,"MEM,LAC",1610612763,2012-13
1,468,108,1,"MEM,OKC",1610612763,2012-13
2,351,134,0,"MEM,SAS",1610612763,2012-13
0,536,153,0,"ATL,IND",1610612737,2012-13
0,643,162,1,"GSW,DEN",1610612744,2012-13
1,589,190,0,"GSW,SAS",1610612744,2012-13
0,494,90,0,"BOS,NYK",1610612738,2012-13
0,341,74,0,"LAL,SAS",1610612747,2012-13
0,600,142,0,"HOU,OKC",1610612745,2012-13
0,341,109,0,"MIL,MIA",1610612749,2012-13
