,TOTAL_PTS,TOTAL_BENCH_PTS,WL,MATCHUP,TEAM_ID,SEASON
0,411,139,1,"SAS,LAC",1610612759,2011-12
1,608,225,0,"SAS,OKC",1610612759,2011-12
2,409,184,1,"SAS,UTA",1610612759,2011-12
0,506,140,0,"CHI,PHI",1610612741,2011-12
0,679,133,1,"MIA,BOS",1610612748,2011-12
1,566,122,1,"MIA,IND",1610612748,2011-12
2,484,87,1,"MIA,NYK",1610612748,2011-12
3,510,77,1,"MIA,OKC",1610612748,2011-12
0,399,132,1,"OKC,DAL",1610612760,2011-12
1,501,153,1,"OKC,LAL",1610612760,2011-12
2,490,120,0,"OKC,MIA",1610612760,2011-12
3,635,194,1,"OKC,SAS",1610612760,2011-12
0,674,133,1,"LAL,DEN",1610612747,2011-12
1,454,66,0,"LAL,OKC",1610612747,2011-12
0,527,147,0,"IND,MIA",1610612754,2011-12
1,473,114,1,"IND,ORL",1610612754,2011-12
0,521,101,1,"BOS,ATL",1610612738,2011-12
1,645,87,0,"BOS,MIA",1610612738,2011-12
2,624,116,1,"BOS,PHI",1610612738,2011-12
0,640,158,0,"MEM,LAC",1610612763,2011-12
0,635,222,1,"LAC,MEM",1610612746,2011-12
1,365,146,0,"LAC,SAS",1610612746,2011-12
0,493,120,0,"ATL,BOS",1610612737,2011-12
0,677,283,0,"DEN,LAL",1610612743,2011-12
0,419,99,0,"ORL,IND",1610612753,2011-12
0,373,122,0,"DAL,OKC",1610612742,2011-12
0,414,114,0,"NYK,MIA",1610612752,2011-12
0,598,214,0,"PHI,BOS",1610612755,2011-12
1,516,159,1,"PHI,CHI",1610612755,2011-12
0,345,112,0,"UTA,SAS",1610612762,2011-12
