,TOTAL_PTS,TOTAL_BENCH_PTS,WL,MATCHUP,TEAM_ID,SEASON
0,670,86,1,"GSW,HOU",1610612744,2018-19
1,747,178,1,"GSW,LAC",1610612744,2018-19
2,459,130,1,"GSW,POR",1610612744,2018-19
3,635,148,0,"GSW,TOR",1610612744,2018-19
0,565,189,1,"MIL,BOS",1610612749,2018-19
1,487,148,1,"MIL,DET",1610612749,2018-19
2,640,191,0,"MIL,TOR",1610612749,2018-19
0,792,176,0,"DEN,POR",1610612743,2018-19
1,736,202,1,"DEN,SAS",1610612743,2018-19
0,669,166,1,"TOR,GSW",1610612761,2018-19
1,646,193,1,"TOR,MIL",1610612761,2018-19
2,532,141,1,"TOR,ORL",1610612761,2018-19
3,711,118,1,"TOR,PHI",1610612761,2018-19
0,779,239,1,"POR,DEN",1610612757,2018-19
1,421,130,0,"POR,GSW",1610612757,2018-19
2,555,94,1,"POR,OKC",1610612757,2018-19
0,612,183,1,"PHI,BKN",1610612755,2018-19
1,692,143,0,"PHI,TOR",1610612755,2018-19
0,397,131,1,"BOS,IND",1610612738,2018-19
1,522,138,0,"BOS,MIL",1610612738,2018-19
0,659,112,0,"HOU,GSW",1610612745,2018-19
1,535,119,1,"HOU,UTA",1610612745,2018-19
0,367,138,0,"IND,BOS",1610612754,2018-19
0,489,147,0,"UTA,HOU",1610612762,2018-19
0,526,127,0,"OKC,POR",1610612760,2018-19
0,557,276,0,"BKN,PHI",1610612751,2018-19
0,460,169,0,"ORL,TOR",1610612753,2018-19
0,723,197,0,"SAS,DEN",1610612759,2018-19
0,688,334,0,"LAC,GSW",1610612746,2018-19
0,392,142,0,"DET,MIL",1610612765,2018-19
