,TOTAL_PTS,TOTAL_BENCH_PTS,WL,MATCHUP,TEAM_ID,SEASON
0,654,157,1,"IND,ATL",1610612754,2013-14
1,552,93,0,"IND,MIA",1610612754,2013-14
2,534,109,1,"IND,WAS",1610612754,2013-14
0,722,254,1,"SAS,DAL",1610612759,2013-14
1,528,188,1,"SAS,MIA",1610612759,2013-14
2,652,294,1,"SAS,OKC",1610612759,2013-14
3,544,220,1,"SAS,POR",1610612759,2013-14
0,489,124,1,"MIA,BKN",1610612748,2013-14
1,407,115,1,"MIA,CHA",1610612748,2013-14
2,591,159,1,"MIA,IND",1610612748,2013-14
3,458,109,0,"MIA,SAS",1610612748,2013-14
0,643,154,1,"OKC,LAC",1610612760,2013-14
1,715,168,1,"OKC,MEM",1610612760,2013-14
2,589,162,0,"OKC,SAS",1610612760,2013-14
0,776,244,1,"LAC,GSW",1610612746,2013-14
1,638,187,0,"LAC,OKC",1610612746,2013-14
0,673,170,0,"TOR,BKN",1610612761,2013-14
0,450,161,0,"CHI,WAS",1610612741,2013-14
0,672,135,0,"HOU,POR",1610612745,2013-14
0,670,93,1,"POR,HOU",1610612757,2013-14
1,477,77,0,"POR,SAS",1610612757,2013-14
0,473,69,1,"WAS,CHI",1610612764,2013-14
1,521,97,0,"WAS,IND",1610612764,2013-14
0,745,201,0,"GSW,LAC",1610612744,2013-14
0,462,154,0,"BKN,MIA",1610612751,2013-14
1,684,203,1,"BKN,TOR",1610612751,2013-14
0,677,233,0,"MEM,OKC",1610612763,2013-14
0,368,108,0,"CHA,MIA",1610612766,2013-14
0,647,198,0,"ATL,IND",1610612737,2013-14
0,708,268,0,"DAL,SAS",1610612742,2013-14
