,TOTAL_PTS,TOTAL_BENCH_PTS,WL,MATCHUP,TEAM_ID,SEASON
0,547,177,1,"MIA,ATL",1610612748,2021-22
1,698,233,0,"MIA,BOS",1610612748,2021-22
2,631,205,1,"MIA,PHI",1610612748,2021-22
0,731,217,0,"PHX,DAL",1610612756,2021-22
1,668,164,1,"PHX,NOP",1610612756,2021-22
0,454,94,1,"BOS,BKN",1610612738,2021-22
1,605,124,0,"BOS,GSW",1610612738,2021-22
2,735,170,1,"BOS,MIA",1610612738,2021-22
3,739,153,1,"BOS,MIL",1610612738,2021-22
0,662,198,0,"MEM,GSW",1610612763,2021-22
1,688,238,1,"MEM,MIN",1610612763,2021-22
0,629,161,1,"GSW,BOS",1610612744,2021-22
1,576,167,1,"GSW,DAL",1610612744,2021-22
2,590,216,1,"GSW,DEN",1610612744,2021-22
3,666,223,1,"GSW,MEM",1610612744,2021-22
0,684,152,0,"MIL,BOS",1610612749,2021-22
1,549,149,1,"MIL,CHI",1610612749,2021-22
0,533,157,0,"DAL,GSW",1610612742,2021-22
1,753,229,1,"DAL,PHX",1610612742,2021-22
2,628,147,1,"DAL,UTA",1610612742,2021-22
0,585,121,0,"PHI,MIA",1610612755,2021-22
1,669,109,1,"PHI,TOR",1610612755,2021-22
0,619,170,0,"TOR,PHI",1610612761,2021-22
0,594,169,0,"UTA,DAL",1610612762,2021-22
0,476,103,0,"CHI,MIL",1610612741,2021-22
0,550,168,0,"DEN,GSW",1610612743,2021-22
