,TEAM_ID,GAME_ID,SEASON,BENCH_PTS,OFF_RTG,SEASON_W_PCT
0,1610612744,0022000001,2020-21,35.0,108.8,0.542
1,1610612751,0022000001,2020-21,54.0,116.3,0.667
2,1610612746,0022000002,2020-21,29.0,115.2,0.653
3,1610612747,0022000002,2020-21,46.0,107.5,0.583
4,1610612749,0022000003,2020-21,12.0,114.7,0.639
5,1610612738,0022000003,2020-21,34.0,111.0,0.5
6,1610612742,0022000004,2020-21,33.0,112.9,0.583
7,1610612756,0022000004,2020-21,41.0,114.9,0.708
8,1610612740,0022000005,2020-21,21.0,110.8,0.431
9,1610612748,0022000005,2020-21,47.0,109.1,0.556
10,1610612744,0022000006,2020-21,40.0,108.8,0.542
11,1610612749,0022000006,2020-21,59.0,114.7,0.639
12,1610612751,0022000007,2020-21,38.0,116.3,0.667
13,1610612738,0022000007,2020-21,25.0,111.0,0.5
14,1610612742,0022000008,2020-21,40.0,112.9,0.583
15,1610612747,0022000008,2020-21,60.0,107.5,0.583
16,1610612746,0022000009,2020-21,40.0,115.2,0.653
17,1610612743,0022000009,2020-21,41.0,114.2,0.653
18,1610612766,0022000010,2020-21,24.0,108.1,0.458
19,1610612739,0022000010,2020-21,34.0,103.1,0.306
20,1610612752,0022000011,2020-21,43.0,108.2,0.569
21,1610612754,0022000011,2020-21,31.0,109.9,0.472
22,1610612748,0022000012,2020-21,33.0,109.1,0.556
23,1610612753,0022000012,2020-21,38.0,102.9,0.292
24,1610612764,0022000013,2020-21,33.0,108.9,0.472
25,1610612755,0022000013,2020-21,43.0,110.8,0.681
26,1610612740,0022000014,2020-21,32.0,110.8,0.431
27,1610612761,0022000014,2020-21,33.0,109.3,0.375
28,1610612737,0022000015,2020-21,34.0,113.0,0.569
29,1610612741,0022000015,2020-21,30.0,108.7,0.431
30,1610612760,0022000016,2020-21,39.0,101.3,0.306
31,1610612745,0022000016,2020-21,12.0,104.9,0.236
32,1610612759,0022000017,2020-21,30.0,108.6,0.458
33,1610612763,0022000017,2020-21,31.0,109.7,0.528
34,1610612765,0022000018,2020-21,51.0,105.4,0.278
35,1610612750,0022000018,2020-21,51.0,107.0,0.319
36,1610612758,0022000019,2020-21,41.0,111.1,0.431
37,1610612743,0022000019,2020-21,34.0,114.2,0.653
38,1610612762,0022000020,2020-21,47.0,115.1,0.722
39,1610612757,0022000020,2020-21,45.0,114.9,0.583
40,1610612737,0022000021,2020-21,46.0,113.0,0.569
41,1610612763,0022000021,2020-21,22.0,109.7,0.528
42,1610612760,0022000022,2020-21,31.0,101.3,0.306
43,1610612766,0022000022,2020-21,39.0,108.1,0.458
44,1610612739,0022000023,2020-21,37.0,103.1,0.306
45,1610612765,0022000023,2020-21,37.0,105.4,0.278
46,1610612753,0022000024,2020-21,53.0,102.9,0.292
47,1610612764,0022000024,2020-21,32.0,108.9,0.472
48,1610612755,0022000025,2020-21,27.0,110.8,0.681
49,1610612752,0022000025,2020-21,37.0,108.2,0.569
50,1610612754,0022000026,2020-21,31.0,109.9,0.472
51,1610612741,0022000026,2020-21,43.0,108.7,0.431
52,1610612761,0022000027,2020-21,32.0,109.3,0.375
53,1610612759,0022000027,2020-21,43.0,108.6,0.458
54,1610612750,0022000028,2020-21,49.0,107.0,0.319
55,1610612762,0022000028,2020-21,38.0,115.1,0.722
56,1610612745,0022000029,2020-21,23.0,104.9,0.236
57,1610612757,0022000029,2020-21,25.0,114.9,0.583
58,1610612756,0022000030,2020-21,20.0,114.9,0.708
59,1610612758,0022000030,2020-21,33.0,111.1,0.431
60,1610612742,0022000031,2020-21,49.0,112.9,0.583
61,1610612746,0022000031,2020-21,32.0,115.2,0.653
62,1610612751,0022000032,2020-21,31.0,116.3,0.667
63,1610612766,0022000032,2020-21,20.0,108.1,0.458
64,1610612753,0022000033,2020-21,50.0,102.9,0.292
65,1610612764,0022000033,2020-21,31.0,108.9,0.472
66,1610612759,0022000034,2020-21,40.0,108.6,0.458
67,1610612740,0022000034,2020-21,21.0,110.8,0.431
68,1610612755,0022000035,2020-21,42.0,110.8,0.681
69,1610612739,0022000035,2020-21,41.0,103.1,0.306
70,1610612749,0022000036,2020-21,37.0,114.7,0.639
71,1610612752,0022000036,2020-21,41.0,108.2,0.569
72,1610612738,0022000037,2020-21,42.0,111.0,0.5
73,1610612754,0022000037,2020-21,31.0,109.9,0.472
74,1610612744,0022000038,2020-21,54.0,108.8,0.542
75,1610612741,0022000038,2020-21,24.0,108.7,0.431
76,1610612756,0022000039,2020-21,53.0,114.9,0.708
77,1610612758,0022000039,2020-21,42.0,111.1,0.431
78,1610612750,0022000040,2020-21,54.0,107.0,0.319
79,1610612747,0022000040,2020-21,58.0,107.5,0.583
80,1610612765,0022000041,2020-21,37.0,105.4,0.278
81,1610612737,0022000041,2020-21,55.0,113.0,0.569
82,1610612763,0022000042,2020-21,40.0,109.7,0.528
83,1610612751,0022000042,2020-21,35.0,116.3,0.667
84,1610612762,0022000043,2020-21,26.0,115.1,0.722
85,1610612760,0022000043,2020-21,26.0,101.3,0.306
86,1610612745,0022000044,2020-21,28.0,104.9,0.236
87,1610612743,0022000044,2020-21,37.0,114.2,0.653
88,1610612757,0022000045,2020-21,45.0,114.9,0.583
89,1610612747,0022000045,2020-21,23.0,107.5,0.583
90,1610612752,0022000046,2020-21,15.0,108.2,0.569
91,1610612739,0022000046,2020-21,16.0,103.1,0.306
92,1610612744,0022000047,2020-21,33.0,108.8,0.542
93,1610612765,0022000047,2020-21,52.0,105.4,0.278
94,1610612738,0022000048,2020-21,34.0,111.0,0.5
95,1610612754,0022000048,2020-21,21.0,109.9,0.472
96,1610612761,0022000049,2020-21,19.0,109.3,0.375
97,1610612755,0022000049,2020-21,10.0,110.8,0.681
98,1610612741,0022000050,2020-21,43.0,108.7,0.431
99,1610612764,0022000050,2020-21,35.0,108.9,0.472
100,1610612749,0022000051,2020-21,55.0,114.7,0.639
101,1610612748,0022000051,2020-21,58.0,109.1,0.556
102,1610612753,0022000052,2020-21,35.0,102.9,0.292
103,1610612760,0022000052,2020-21,36.0,101.3,0.306
104,1610612740,0022000053,2020-21,28.0,110.8,0.431
105,1610612756,0022000053,2020-21,47.0,114.9,0.708
106,1610612750,0022000054,2020-21,32.0,107.0,0.319
107,1610612746,0022000054,2020-21,56.0,115.2,0.653
108,1610612743,0022000055,2020-21,19.0,114.2,0.653
109,1610612758,0022000055,2020-21,38.0,111.1,0.431
110,1610612763,0022000056,2020-21,56.0,109.7,0.528
111,1610612738,0022000056,2020-21,38.0,111.0,0.5
112,1610612737,0022000057,2020-21,43.0,113.0,0.569
113,1610612751,0022000057,2020-21,56.0,116.3,0.667
114,1610612749,0022000058,2020-21,39.0,114.7,0.639
115,1610612748,0022000058,2020-21,51.0,109.1,0.556
116,1610612766,0022000059,2020-21,60.0,108.1,0.458
117,1610612742,0022000059,2020-21,51.0,112.9,0.583
118,1610612747,0022000060,2020-21,39.0,107.5,0.583
119,1610612759,0022000060,2020-21,29.0,108.6,0.458
120,1610612757,0022000061,2020-21,42.0,114.9,0.583
121,1610612746,0022000061,2020-21,48.0,115.2,0.653
122,1610612739,0022000062,2020-21,22.0,103.1,0.306
123,1610612754,0022000062,2020-21,35.0,109.9,0.472
124,1610612741,0022000063,2020-21,41.0,108.7,0.431
125,1610612764,0022000063,2020-21,29.0,108.9,0.472
126,1610612755,0022000064,2020-21,42.0,110.8,0.681
127,1610612753,0022000064,2020-21,45.0,102.9,0.292
128,1610612758,0022000065,2020-21,28.0,111.1,0.431
129,1610612745,0022000065,2020-21,35.0,104.9,0.236
130,1610612752,0022000066,2020-21,31.0,108.2,0.569
131,1610612761,0022000066,2020-21,30.0,109.3,0.375
132,1610612740,0022000067,2020-21,34.0,110.8,0.431
133,1610612760,0022000067,2020-21,32.0,101.3,0.306
134,1610612756,0022000068,2020-21,34.0,114.9,0.708
135,1610612762,0022000068,2020-21,27.0,115.1,0.722
136,1610612763,0022000069,2020-21,34.0,109.7,0.528
137,1610612766,0022000069,2020-21,44.0,108.1,0.458
138,1610612738,0022000070,2020-21,20.0,111.0,0.5
139,1610612765,0022000070,2020-21,36.0,105.4,0.278
140,1610612748,0022000071,2020-21,43.0,109.1,0.556
141,1610612742,0022000071,2020-21,23.0,112.9,0.583
142,1610612737,0022000072,2020-21,26.0,113.0,0.569
143,1610612751,0022000072,2020-21,28.0,116.3,0.667
144,1610612741,0022000073,2020-21,39.0,108.7,0.431
145,1610612749,0022000073,2020-21,52.0,114.7,0.639
146,1610612764,0022000074,2020-21,47.0,108.9,0.472
147,1610612750,0022000074,2020-21,50.0,107.0,0.319
148,1610612747,0022000075,2020-21,23.0,107.5,0.583
149,1610612759,0022000075,2020-21,34.0,108.6,0.458
150,1610612756,0022000076,2020-21,23.0,114.9,0.708
151,1610612743,0022000076,2020-21,31.0,114.2,0.653
152,1610612746,0022000077,2020-21,27.0,115.2,0.653
153,1610612762,0022000077,2020-21,34.0,115.1,0.722
154,1610612757,0022000078,2020-21,37.0,114.9,0.583
155,1610612744,0022000078,2020-21,39.0,108.8,0.542
156,1610612758,0022000079,2020-21,12.0,111.1,0.431
157,1610612745,0022000079,2020-21,23.0,104.9,0.236
158,1610612752,0022000080,2020-21,28.0,108.2,0.569
159,1610612754,0022000080,2020-21,23.0,109.9,0.472
160,1610612760,0022000081,2020-21,34.0,101.3,0.306
161,1610612753,0022000081,2020-21,33.0,102.9,0.292
162,1610612766,0022000082,2020-21,34.0,108.1,0.458
163,1610612755,0022000082,2020-21,35.0,110.8,0.681
164,1610612739,0022000083,2020-21,34.0,103.1,0.306
165,1610612737,0022000083,2020-21,30.0,113.0,0.569
166,1610612761,0022000084,2020-21,38.0,109.3,0.375
167,1610612740,0022000084,2020-21,23.0,110.8,0.431
168,1610612738,0022000085,2020-21,23.0,111.0,0.5
169,1610612765,0022000085,2020-21,54.0,105.4,0.278
170,1610612764,0022000086,2020-21,33.0,108.9,0.472
171,1610612751,0022000086,2020-21,30.0,116.3,0.667
172,1610612747,0022000087,2020-21,40.0,107.5,0.583
173,1610612763,0022000087,2020-21,31.0,109.7,0.528
174,1610612743,0022000088,2020-21,47.0,114.2,0.653
175,1610612750,0022000088,2020-21,35.0,107.0,0.319
176,1610612762,0022000089,2020-21,47.0,115.1,0.722
177,1610612759,0022000089,2020-21,42.0,108.6,0.458
178,1610612742,0022000090,2020-21,39.0,112.9,0.583
179,1610612741,0022000090,2020-21,28.0,108.7,0.431
180,1610612746,0022000091,2020-21,29.0,115.2,0.653
181,1610612756,0022000091,2020-21,30.0,114.9,0.708
182,1610612757,0022000092,2020-21,46.0,114.9,0.583
183,1610612744,0022000092,2020-21,24.0,108.8,0.542
184,1610612739,0022000093,2020-21,29.0,103.1,0.306
185,1610612753,0022000093,2020-21,42.0,102.9,0.292
186,1610612766,0022000094,2020-21,40.0,108.1,0.458
187,1610612755,0022000094,2020-21,46.0,110.8,0.681
188,1610612752,0022000095,2020-21,30.0,108.2,0.569
189,1610612737,0022000095,2020-21,14.0,113.0,0.569
190,1610612760,0022000096,2020-21,39.0,101.3,0.306
191,1610612748,0022000096,2020-21,42.0,109.1,0.556
192,1610612738,0022000097,2020-21,60.0,111.0,0.5
193,1610612761,0022000097,2020-21,29.0,109.3,0.375
194,1610612742,0022000098,2020-21,41.0,112.9,0.583
195,1610612745,0022000098,2020-21,37.0,104.9,0.236
196,1610612765,0022000099,2020-21,58.0,105.4,0.278
197,1610612749,0022000099,2020-21,35.0,114.7,0.639
198,1610612754,0022000100,2020-21,33.0,109.9,0.472
199,1610612740,0022000100,2020-21,21.0,110.8,0.431
200,1610612758,0022000101,2020-21,51.0,111.1,0.431
201,1610612744,0022000101,2020-21,58.0,108.8,0.542
202,1610612762,0022000102,2020-21,33.0,115.1,0.722
203,1610612751,0022000102,2020-21,66.0,116.3,0.667
204,1610612747,0022000103,2020-21,22.0,107.5,0.583
205,1610612763,0022000103,2020-21,36.0,109.7,0.528
206,1610612750,0022000104,2020-21,35.0,107.0,0.319
207,1610612743,0022000104,2020-21,35.0,114.2,0.653
208,1610612759,0022000105,2020-21,57.0,108.6,0.458
209,1610612746,0022000105,2020-21,30.0,115.2,0.653
210,1610612741,0022000106,2020-21,26.0,108.7,0.431
211,1610612757,0022000106,2020-21,27.0,114.9,0.583
212,1610612745,0022000107,2020-21,30.0,104.9,0.236
213,1610612754,0022000107,2020-21,30.0,109.9,0.472
214,1610612739,0022000108,2020-21,30.0,103.1,0.306
215,1610612753,0022000108,2020-21,49.0,102.9,0.292
216,1610612764,0022000109,2020-21,36.0,108.9,0.472
217,1610612755,0022000109,2020-21,24.0,110.8,0.681
218,1610612766,0022000110,2020-21,19.0,108.1,0.458
219,1610612737,0022000110,2020-21,32.0,113.0,0.569
220,1610612738,0022000111,2020-21,28.0,111.0,0.5
221,1610612748,0022000111,2020-21,29.0,109.1,0.556
222,1610612762,0022000112,2020-21,45.0,115.1,0.722
