,TOTAL_PTS,TOTAL_BENCH_PTS,WL,MATCHUP,TEAM_ID,SEASON
0,418,157,0,"TOR,CLE",1610612761,2017-18
1,655,211,1,"TOR,WAS",1610612761,2017-18
0,689,152,0,"HOU,GSW",1610612745,2017-18
1,552,147,1,"HOU,MIN",1610612745,2017-18
2,543,124,1,"HOU,UTA",1610612745,2017-18
0,677,163,0,"BOS,CLE",1610612738,2017-18
1,717,201,1,"BOS,MIL",1610612738,2017-18
2,532,127,1,"BOS,PHI",1610612738,2017-18
0,464,102,1,"GSW,CLE",1610612744,2017-18
1,752,128,1,"GSW,HOU",1610612744,2017-18
2,575,147,1,"GSW,NOP",1610612744,2017-18
3,528,137,1,"GSW,SAS",1610612744,2017-18
0,517,105,0,"PHI,BOS",1610612755,2017-18
1,571,178,1,"PHI,MIA",1610612755,2017-18
0,422,98,0,"POR,NOP",1610612757,2017-18
0,607,112,0,"OKC,UTA",1610612760,2017-18
0,683,195,1,"CLE,BOS",1610612739,2017-18
1,404,97,0,"CLE,GSW",1610612739,2017-18
2,664,179,1,"CLE,IND",1610612739,2017-18
3,474,107,1,"CLE,TOR",1610612739,2017-18
0,493,180,0,"UTA,HOU",1610612762,2017-18
1,633,135,1,"UTA,OKC",1610612762,2017-18
0,704,213,0,"IND,CLE",1610612754,2017-18
0,532,109,0,"NOP,GSW",1610612740,2017-18
1,458,67,1,"NOP,POR",1610612740,2017-18
0,517,254,0,"MIA,PHI",1610612748,2017-18
0,713,192,0,"MIL,BOS",1610612749,2017-18
0,484,193,0,"SAS,GSW",1610612759,2017-18
0,643,184,0,"WAS,TOR",1610612764,2017-18
0,508,178,0,"MIN,HOU",1610612750,2017-18
