,TOTAL_PTS,TOTAL_BENCH_PTS,WL,MATCHUP,TEAM_ID,SEASON
0,448,126,1,"CLE,ATL",1610612739,2015-16
1,414,69,1,"CLE,DET",1610612739,2015-16
2,703,107,1,"CLE,GSW",1610612739,2015-16
3,635,145,1,"CLE,TOR",1610612739,2015-16
0,699,204,0,"GSW,CLE",1610612744,2015-16
1,550,223,1,"GSW,HOU",1610612744,2015-16
2,743,199,1,"GSW,OKC",1610612744,2015-16
3,593,188,1,"GSW,POR",1610612744,2015-16
0,412,184,1,"SAS,MEM",1610612759,2015-16
1,608,143,0,"SAS,OKC",1610612759,2015-16
0,542,182,0,"TOR,CLE",1610612761,2015-16
1,646,239,1,"TOR,IND",1610612761,2015-16
2,680,140,1,"TOR,MIA",1610612761,2015-16
0,694,162,1,"MIA,CHA",1610612748,2015-16
1,662,155,0,"MIA,TOR",1610612748,2015-16
0,560,172,1,"OKC,DAL",1610612760,2015-16
1,750,133,0,"OKC,GSW",1610612760,2015-16
2,605,133,1,"OKC,SAS",1610612760,2015-16
0,603,174,1,"ATL,BOS",1610612737,2015-16
1,398,158,0,"ATL,CLE",1610612737,2015-16
0,590,213,0,"LAC,POR",1610612746,2015-16
0,563,173,0,"BOS,ATL",1610612738,2015-16
0,571,145,0,"POR,GSW",1610612757,2015-16
1,584,135,1,"POR,LAC",1610612757,2015-16
0,469,159,0,"DAL,OKC",1610612742,2015-16
0,632,226,0,"CHA,MIA",1610612766,2015-16
0,656,189,0,"IND,TOR",1610612754,2015-16
0,324,140,0,"MEM,SAS",1610612763,2015-16
0,456,156,0,"HOU,GSW",1610612745,2015-16
0,380,66,0,"DET,CLE",1610612765,2015-16
