,TOTAL_PTS,TOTAL_BENCH_PTS,WL,MATCHUP,TEAM_ID,SEASON
0,568,156,1,"LAL,DEN",1610612747,2019-20
1,555,189,1,"LAL,HOU",1610612747,2019-20
2,660,191,1,"LAL,MIA",1610612747,2019-20
3,586,174,1,"LAL,POR",1610612747,2019-20
0,530,121,0,"MIL,MIA",1610612749,2019-20
1,581,187,1,"MIL,ORL",1610612749,2019-20
0,760,243,1,"LAC,DAL",1610612746,2019-20
1,722,231,0,"LAC,DEN",1610612746,2019-20
0,505,226,1,"TOR,BKN",1610612761,2019-20
1,698,198,0,"TOR,BOS",1610612761,2019-20
0,675,110,0,"BOS,MIA",1610612738,2019-20
1,449,80,1,"BOS,PHI",1610612738,2019-20
2,735,120,1,"BOS,TOR",1610612738,2019-20
0,725,189,1,"DEN,LAC",1610612743,2019-20
1,546,177,0,"DEN,LAL",1610612743,2019-20
2,770,176,1,"DEN,UTA",1610612743,2019-20
0,519,116,0,"HOU,LAL",1610612745,2019-20
1,773,177,1,"HOU,OKC",1610612745,2019-20
0,403,70,0,"IND,MIA",1610612754,2019-20
0,674,161,1,"MIA,BOS",1610612748,2019-20
1,445,126,1,"MIA,IND",1610612748,2019-20
2,627,173,0,"MIA,LAL",1610612748,2019-20
3,564,141,1,"MIA,MIL",1610612748,2019-20
0,728,208,0,"OKC,HOU",1610612760,2019-20
0,402,68,0,"PHI,BOS",1610612755,2019-20
0,794,212,0,"UTA,DEN",1610612762,2019-20
0,702,191,0,"DAL,LAC",1610612742,2019-20
0,423,140,0,"BKN,TOR",1610612751,2019-20
0,535,199,0,"ORL,MIL",1610612753,2019-20
0,533,125,0,"POR,LAL",1610612757,2019-20
