,TOTAL_PTS,TOTAL_BENCH_PTS,WL,MATCHUP,TEAM_ID,SEASON
0,556,125,1,"CHI,ATL",1610612741,2010-11
1,488,120,1,"CHI,IND",1610612741,2010-11
2,436,108,0,"CHI,MIA",1610612741,2010-11
0,566,181,0,"SAS,MEM",1610612759,2010-11
0,477,95,1,"MIA,BOS",1610612748,2010-11
1,447,80,1,"MIA,CHI",1610612748,2010-11
2,554,132,0,"MIA,DAL",1610612748,2010-11
3,470,97,1,"MIA,PHI",1610612748,2010-11
0,353,89,0,"LAL,DAL",1610612747,2010-11
1,579,145,1,"LAL,NOH",1610612747,2010-11
0,455,123,0,"BOS,MIA",1610612738,2010-11
1,397,60,1,"BOS,NYK",1610612738,2010-11
0,409,198,1,"DAL,LAL",1610612742,2010-11
1,568,168,1,"DAL,MIA",1610612742,2010-11
2,526,186,1,"DAL,OKC",1610612742,2010-11
3,560,207,1,"DAL,POR",1610612742,2010-11
0,532,135,0,"ORL,ATL",1610612753,2010-11
0,506,149,0,"OKC,DAL",1610612760,2010-11
1,511,127,1,"OKC,DEN",1610612760,2010-11
2,725,251,1,"OKC,MEM",1610612760,2010-11
0,514,121,0,"ATL,CHI",1610612737,2010-11
1,521,186,1,"ATL,ORL",1610612737,2010-11
0,487,172,0,"DEN,OKC",1610612743,2010-11
0,363,126,0,"NYK,BOS",1610612752,2010-11
0,529,125,0,"POR,DAL",1610612757,2010-11
0,536,114,0,"NOH,LAL",1610612740,2010-11
0,433,162,0,"PHI,MIA",1610612755,2010-11
0,451,158,0,"IND,CHI",1610612754,2010-11
0,697,198,0,"MEM,OKC",1610612763,2010-11
1,585,172,1,"MEM,SAS",1610612763,2010-11
