,TOTAL_PTS,TOTAL_BENCH_PTS,WL,MATCHUP,TEAM_ID,SEASON
0,611,148,1,"ATL,BKN",1610612737,2014-15
1,370,110,0,"ATL,CLE",1610612737,2014-15
2,587,159,1,"ATL,WAS",1610612737,2014-15
0,604,151,1,"GSW,CLE",1610612744,2014-15
1,543,141,1,"GSW,HOU",1610612744,2014-15
2,587,153,1,"GSW,MEM",1610612744,2014-15
3,435,78,1,"GSW,NOP",1610612744,2014-15
0,423,120,1,"CLE,ATL",1610612739,2014-15
1,416,80,1,"CLE,BOS",1610612739,2014-15
2,580,141,1,"CLE,CHI",1610612739,2014-15
3,561,95,0,"CLE,GSW",1610612739,2014-15
0,571,202,1,"HOU,DAL",1610612745,2014-15
1,502,102,0,"HOU,GSW",1610612745,2014-15
2,766,198,1,"HOU,LAC",1610612745,2014-15
0,547,131,0,"CHI,CLE",1610612741,2014-15
1,605,142,1,"CHI,MIL",1610612741,2014-15
0,788,206,0,"LAC,HOU",1610612746,2014-15
1,721,156,1,"LAC,SAS",1610612746,2014-15
0,469,145,0,"POR,MEM",1610612757,2014-15
0,385,160,0,"TOR,WAS",1610612761,2014-15
0,539,147,0,"MEM,GSW",1610612763,2014-15
1,503,144,1,"MEM,POR",1610612763,2014-15
0,570,140,0,"WAS,ATL",1610612764,2014-15
1,441,124,1,"WAS,TOR",1610612764,2014-15
0,531,202,0,"MIL,CHI",1610612749,2014-15
0,724,299,0,"SAS,LAC",1610612759,2014-15
0,379,199,0,"BOS,CLE",1610612738,2014-15
0,550,171,0,"DAL,HOU",1610612742,2014-15
0,403,126,0,"NOP,GSW",1610612740,2014-15
0,578,165,0,"BKN,ATL",1610612751,2014-15
